year,co2
1960,5944.27
1961,6164.227
1962,7550.353
1963,7036.973
1964,7719.035
1965,8250.75
1966,8782.465
1967,7832.712
1968,8393.763
1969,8511.107
1970,28199.23
1971,24528.563
1972,23058.096
1973,25096.948
1974,19083.068
1975,21800.315
1976,13923.599
1977,15276.722
1978,15419.735
1979,16281.48
1980,16820.529
1981,17726.278
1982,18382.671
1983,19317.756
1984,17550.262
1985,21165.924
1986,23091.099
1987,25969.694
1988,23182.774
1989,17509.925
1990,21444.616
1991,21554.626
1992,21708.64
1993,23116.768
1994,26475.74
1995,29090.311
1996,34667.818
1997,45100.433
1998,47513.319
1999,47693.002
2000,53644.543
2001,61139.891
2002,70806.103
2003,78767.16
2004,90549.231
2005,98143.588
2006,102742.006
2007,104872.533
2008,117996.726
2009,128631.026
2010,142737.975
2011,152169.499
2012,142631.632
2013,147230.05
2014,167336.211
2015,188329.786
2016,192667.847