Entity,Code,Year,oil,flaring,cement,coal,gas,others
Vietnam,VNM,1950,367309,,72866,1039485,,
Vietnam,VNM,1951,556928,,105394,622880,,
Vietnam,VNM,1952,751120,,112663,1000272,,
Vietnam,VNM,1953,981952,,145371,622880,,
Vietnam,VNM,1954,1146832,,127200.00000000001,1395984,,
Vietnam,VNM,1955,1176144,,149006,2198400,,
Vietnam,VNM,1956,1223776,,98126,1586512,,
Vietnam,VNM,1957,1438120,,79853,1357615,,
Vietnam,VNM,1958,1758720,,149006,3107072,,
Vietnam,VNM,1959,1806352,,188983,4609312,,
Vietnam,VNM,1960,1795360,,199886,5488672,,
Vietnam,VNM,1961,2026192,,225326,5726832,,
Vietnam,VNM,1962,1985888,,228960,7122816,,
Vietnam,VNM,1963,2176416,,243497,6690464,,
Vietnam,VNM,1964,4173295.9999999995,,356160,7258384,,
Vietnam,VNM,1965,4994032,,468823,7687072,,
Vietnam,VNM,1966,10671606,,436197,8073333.999999999,,
Vietnam,VNM,1967,15678256,,461554,6822368,,
Vietnam,VNM,1968,16062975.999999998,,316183,7221744,,
Vietnam,VNM,1969,19455840,,367063,7232736,,
Vietnam,VNM,1970,20496416,,388868,7287696,,
Vietnam,VNM,1971,17363696,,377966,6763744,,
Vietnam,VNM,1972,17689792,,247131,5100288,,
Vietnam,VNM,1973,17345376,,377966,7349984,,
Vietnam,VNM,1974,9938522,,345191,8780921,,
Vietnam,VNM,1975,9257371,,345199,12177088,,
Vietnam,VNM,1976,2150768,,362763,11391376,,
Vietnam,VNM,1977,2275344,,408151,12567520,,
Vietnam,VNM,1978,2861584,,403255,12124176,,
Vietnam,VNM,1979,3290272,,342936,12615152,,
Vietnam,VNM,1980,3751936,,297664,12736064,,
Vietnam,VNM,1981,4154975.9999999995,,250035,13267344,18320,
Vietnam,VNM,1982,4399586,,363582,13528453,40296,
Vietnam,VNM,1983,4814496,,415007,13890224,135568,
Vietnam,VNM,1984,5199216,,484419,11673504,117248,
Vietnam,VNM,1985,5591264,,564708,14839200,73280,
Vietnam,VNM,1986,5719504,,863148,14091744,76944,
Vietnam,VNM,1987,6401008,,1555053,16062975.999999998,76944,
Vietnam,VNM,1988,7959467,223539,819636,13951055,54969,
Vietnam,VNM,1989,7379296,571584,823373,8537120,14656,
Vietnam,VNM,1990,9116032,,1018540,11057952,7328,
Vietnam,VNM,1991,8040188.000000001,,1221111,11997983,3665,
Vietnam,VNM,1992,8716656,,1626078,10981008,,
Vietnam,VNM,1993,12109520,,1704903,8896192,,
Vietnam,VNM,1994,13201392,,1905833,10911392,,
Vietnam,VNM,1995,13186736,,2362528,12549200,425024,
Vietnam,VNM,1996,15982368,,2666436,14747600,626544,
Vietnam,VNM,1997,18398448,,3243411,21527760,1139597,
Vietnam,VNM,1998,19043992,,3931105,21681867,1897805,
Vietnam,VNM,1999,20236272,,4232548,20031088,2158096,
Vietnam,VNM,2000,23193120,,5359616,20716256,3063104,
Vietnam,VNM,2001,25563728,,6448817,24951840,2564800,
Vietnam,VNM,2002,28636320,,8435650,27489548,4099801.0000000005,
Vietnam,VNM,2003,29501133,,9595360,31974216,5206298,
Vietnam,VNM,2004,33890605,,10357430,34791912,8760263,
Vietnam,VNM,2005,33859024,,12147920,39457616,9394496,
Vietnam,VNM,2006,32411744,,12762561,42744224,11211840,
Vietnam,VNM,2007,37356804,,14278551,36462820,12479136,
Vietnam,VNM,2008,40421248,,15280111,43641904,13901216,
Vietnam,VNM,2009,43341456,,18628704,45488560,15374144,
Vietnam,VNM,2010,49302784,,21297986,47463456,18048864,
Vietnam,VNM,2011,47177664,,22040022,59550992,16279152,
Vietnam,VNM,2012,44209824,,21251845,52266960,17957264,
Vietnam,VNM,2013,43909376,,21989084,56275376,18719376,
Vietnam,VNM,2014,46195712,,23271014,70517344,19598736,
Vietnam,VNM,2015,55051600,,25729428,83191120,20463440,
Vietnam,VNM,2016,54014688,,29488674,81560640,20368176,
Vietnam,VNM,2017,56956880,,30070029,77680464,17876656,
Vietnam,VNM,2018,59264641,,30527948,103843963,18137576,
Vietnam,VNM,2019,61826515,,32152496,135229754,18500147,